2025-09-20T09:21:33.926841400,Герой,0
2025-09-20T09:32:10.692564,Герой,0
2025-09-20T09:36:44.037100600,Герой,0
2025-09-20T09:37:41.417493800,Герой,0
2025-09-20T09:41:14.534146100,Герой,0
2025-09-20T09:52:06.430608300,Герой,0
2025-09-20T10:05:29.788298100,Герой,0
2025-09-20T10:09:06.710473200,Герой,0
2025-09-20T10:11:08.733083600,Герой,0
2025-09-20T10:13:47.613078700,Герой,0
2025-09-20T10:16:03.509197600,Герой,0
2025-09-20T10:18:57.607478500,Герой,0
2025-09-20T10:22:00.423156200,Герой,0
2025-09-20T10:24:19.156362700,Герой,0
2025-09-20T11:52:55.427890400,Герой,0
2025-09-20T11:58:20.974406500,Герой,0
2025-09-20T12:02:58.202536500,Герой,0
2025-09-20T12:04:06.497529900,Герой,0
2025-09-22T08:51:17.289115,Герой,0
